
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности; Сварочное;..."
	
Направление	Заказ.Дата.Конец дня	Организация	Канал сбыта	Количество заказов	Сумма Руб.
Дуговая сварка.	19.04.2016 23:59:59	PУТЕКТОР	Дилер	2	170 979,02
Дуговая сварка.	19.04.2016 23:59:59	PУТЕКТОР	Розница	3	788 212,53
ЗЧ и РМ	19.04.2016 23:59:59	PУТЕКТОР	Дилер	9	150 091,05
ЗЧ и РМ	19.04.2016 23:59:59	PУТЕКТОР	Розница	17	336 484,19
Компрессорное	19.04.2016 23:59:59	PУТЕКТОР	Дилер	6	265 289,39
Компрессорное	19.04.2016 23:59:59	PУТЕКТОР	Розница	10	501 717,63
Металлообработка	19.04.2016 23:59:59	PУТЕКТОР	Розница	1	20 824,37
Насосное	19.04.2016 23:59:59	PУТЕКТОР	Дилер	15	841 476,80
Насосное	19.04.2016 23:59:59	PУТЕКТОР	Розница	2	155 376,03
Подготовка поверхности	19.04.2016 23:59:59	PУТЕКТОР	Дилер	2	26 140,00
Подготовка поверхности	19.04.2016 23:59:59	PУТЕКТОР	Розница	3	311 322,83
Сварочное	19.04.2016 23:59:59	PУТЕКТОР	Дилер	1	214 413,89
Сварочное	19.04.2016 23:59:59	PУТЕКТОР	Розница	2	19 363,65
Строительное	19.04.2016 23:59:59	PУТЕКТОР	Дилер	1	11 682,00
Химическое	19.04.2016 23:59:59	PУТЕКТОР	Дилер	2	224 710,39
Химическое	19.04.2016 23:59:59	PУТЕКТОР	Розница	1	68 296,22
Дуговая сварка.	19.04.2016 23:59:59	Рутектор	КПК	1	125 914,60
ЗЧ и РМ	19.04.2016 23:59:59	Рутектор	Розница	1	8 618,00
Насосное	19.04.2016 23:59:59	Рутектор	Розница	1	13 219,62
Автосервис	20.04.2016 23:59:59	PУТЕКТОР	Розница	1	6 900,00
Дуговая сварка.	20.04.2016 23:59:59	PУТЕКТОР	Дилер	1	9 631,16
ЗЧ и РМ	20.04.2016 23:59:59	PУТЕКТОР	Дилер	7	89 061,26
ЗЧ и РМ	20.04.2016 23:59:59	PУТЕКТОР	Розница	15	308 602,58
Компрессорное	20.04.2016 23:59:59	PУТЕКТОР	Дилер	7	649 797,96
Компрессорное	20.04.2016 23:59:59	PУТЕКТОР	Розница	10	1 209 545,99
Насосное	20.04.2016 23:59:59	PУТЕКТОР	Дилер	13	1 466 701,94
Насосное	20.04.2016 23:59:59	PУТЕКТОР	Розница	9	997 259,93
Подготовка поверхности	20.04.2016 23:59:59	PУТЕКТОР	Розница	3	284 770,66
Сварочное	20.04.2016 23:59:59	PУТЕКТОР	Дилер	2	39 286,47
Сварочное	20.04.2016 23:59:59	PУТЕКТОР	Розница	3	357 351,34
Строительное	20.04.2016 23:59:59	PУТЕКТОР	Дилер	1	4 218,00
Строительное	20.04.2016 23:59:59	PУТЕКТОР	Розница	2	24 946,06
Химическое	20.04.2016 23:59:59	PУТЕКТОР	Розница	2	692 671,77
ЗЧ и РМ	20.04.2016 23:59:59	Рутектор	Дилер	1	2 683,50
ЗЧ и РМ	20.04.2016 23:59:59	Рутектор	КПК	1	130 908,04
ЗЧ и РМ	20.04.2016 23:59:59	Рутектор	Розница	1	54 492,40
Дуговая сварка.	21.04.2016 23:59:59	PУТЕКТОР	Дилер	1	9 113,02
ЗЧ и РМ	21.04.2016 23:59:59	PУТЕКТОР	Дилер	14	436 583,31
ЗЧ и РМ	21.04.2016 23:59:59	PУТЕКТОР	Розница	10	577 336,34
Компрессорное	21.04.2016 23:59:59	PУТЕКТОР	Дилер	6	299 650,68
Компрессорное	21.04.2016 23:59:59	PУТЕКТОР	Розница	2	110 179,00
Насосное	21.04.2016 23:59:59	PУТЕКТОР	Дилер	15	1 393 111,02
Насосное	21.04.2016 23:59:59	PУТЕКТОР	Розница	6	294 155,31
Подготовка поверхности	21.04.2016 23:59:59	PУТЕКТОР	Дилер	2	27 000,00
Подготовка поверхности	21.04.2016 23:59:59	PУТЕКТОР	Розница	4	94 652,41
Сварочное	21.04.2016 23:59:59	PУТЕКТОР	Дилер	6	1 285 801,66
Сварочное	21.04.2016 23:59:59	PУТЕКТОР	КПК	1	11 150,00
Сварочное	21.04.2016 23:59:59	PУТЕКТОР	Розница	4	806 629,74
Строительное	21.04.2016 23:59:59	PУТЕКТОР	Дилер	1	1 006 811,62
Химическое	21.04.2016 23:59:59	PУТЕКТОР	Дилер	2	313 709,75
Химическое	21.04.2016 23:59:59	PУТЕКТОР	Розница	2	247 043,24
Компрессорное	21.04.2016 23:59:59	Рутектор	Дилер	1	90 900,00
Автосервис	22.04.2016 23:59:59	PУТЕКТОР	Розница	1	6 500,00
АТП	22.04.2016 23:59:59	PУТЕКТОР	Розница	1	16 161,02
Дуговая сварка.	22.04.2016 23:59:59	PУТЕКТОР	Розница	2	108 442,69
ЗЧ и РМ	22.04.2016 23:59:59	PУТЕКТОР	Дилер	10	400 543,16
ЗЧ и РМ	22.04.2016 23:59:59	PУТЕКТОР	Розница	21	459 445,52
Компрессорное	22.04.2016 23:59:59	PУТЕКТОР	Дилер	4	201 461,47
Компрессорное	22.04.2016 23:59:59	PУТЕКТОР	Розница	4	181 856,60
Насосное	22.04.2016 23:59:59	PУТЕКТОР	Дилер	12	882 760,42
Насосное	22.04.2016 23:59:59	PУТЕКТОР	Розница	11	1 151 371,91
Подготовка поверхности	22.04.2016 23:59:59	PУТЕКТОР	Дилер	1	140 610,00
Подготовка поверхности	22.04.2016 23:59:59	PУТЕКТОР	Розница	2	219 881,99
Сварочное	22.04.2016 23:59:59	PУТЕКТОР	Дилер	5	977 387,80
Сварочное	22.04.2016 23:59:59	PУТЕКТОР	Розница	8	1 547 082,56
Химическое	22.04.2016 23:59:59	PУТЕКТОР	Розница	5	378 668,75
ЗЧ и РМ	22.04.2016 23:59:59	Рутектор	Дилер	1	1 286,00
ЗЧ и РМ	22.04.2016 23:59:59	Рутектор	Розница	1	3 580,00
Насосное	22.04.2016 23:59:59	Рутектор	Дилер	1	41 430,99
Сварочное	22.04.2016 23:59:59	Рутектор	Розница	1	188 000,00
Дуговая сварка.	25.04.2016 23:59:59	PУТЕКТОР	Дилер	1	965 058,89
ЗЧ и РМ	25.04.2016 23:59:59	PУТЕКТОР	Дилер	7	174 204,57
ЗЧ и РМ	25.04.2016 23:59:59	PУТЕКТОР	Розница	17	384 127,42
Компрессорное	25.04.2016 23:59:59	PУТЕКТОР	Дилер	6	981 720,98
Компрессорное	25.04.2016 23:59:59	PУТЕКТОР	Розница	7	1 258 896,64
Насосное	25.04.2016 23:59:59	PУТЕКТОР	Дилер	9	1 262 728,64
Насосное	25.04.2016 23:59:59	PУТЕКТОР	Розница	8	3 130 365,05
Подготовка поверхности	25.04.2016 23:59:59	PУТЕКТОР	Розница	1	45 190,96
Сварочное	25.04.2016 23:59:59	PУТЕКТОР	Дилер	4	373 002,94
Сварочное	25.04.2016 23:59:59	PУТЕКТОР	Розница	2	875 996,59
НГО	25.04.2016 23:59:59	Рутектор	КПК	1	5 193 923,53
Сварочное	25.04.2016 23:59:59	Рутектор	Розница	1	91 057,12
Дуговая сварка.	26.04.2016 23:59:59	PУТЕКТОР	Розница	1	331 473,92
ЗЧ и РМ	26.04.2016 23:59:59	PУТЕКТОР	Дилер	7	378 434,07
ЗЧ и РМ	26.04.2016 23:59:59	PУТЕКТОР	КПК	1	395 626,42
ЗЧ и РМ	26.04.2016 23:59:59	PУТЕКТОР	Розница	13	127 026,86
Компрессорное	26.04.2016 23:59:59	PУТЕКТОР	Дилер	2	900 363,12
Компрессорное	26.04.2016 23:59:59	PУТЕКТОР	Розница	4	392 100,60
Насосное	26.04.2016 23:59:59	PУТЕКТОР	Дилер	10	313 027,44
Насосное	26.04.2016 23:59:59	PУТЕКТОР	Розница	4	373 671,61
Подготовка поверхности	26.04.2016 23:59:59	PУТЕКТОР	Розница	4	516 216,75
Сварочное	26.04.2016 23:59:59	PУТЕКТОР	Розница	2	110 527,51
Строительное	26.04.2016 23:59:59	PУТЕКТОР	КПК	1	100 000,00
Строительное	26.04.2016 23:59:59	PУТЕКТОР	Розница	2	78 200,00
Химическое	26.04.2016 23:59:59	PУТЕКТОР	Розница	2	381 461,91
Компрессорное	26.04.2016 23:59:59	Рутектор	КПК	1	73 000,00
Насосное	26.04.2016 23:59:59	Рутектор	КПК	1	280 000,00
Сварочное	26.04.2016 23:59:59	Рутектор	Дилер	1	46 679,47
Дуговая сварка.	27.04.2016 23:59:59	PУТЕКТОР	Розница	2	34 072,40
ЗЧ и РМ	27.04.2016 23:59:59	PУТЕКТОР	Дилер	5	149 122,33
ЗЧ и РМ	27.04.2016 23:59:59	PУТЕКТОР	КПК	1	335 418,94
ЗЧ и РМ	27.04.2016 23:59:59	PУТЕКТОР	Розница	17	164 005,57
Компрессорное	27.04.2016 23:59:59	PУТЕКТОР	Дилер	2	90 640,00
Компрессорное	27.04.2016 23:59:59	PУТЕКТОР	Розница	13	802 442,40
