Пользователь	Югин Дмитрий
Компьютер	Progr10
Дата и время	25.09.2017 11:11:59
	
Параметры:	Период запроса: 01.01.2017 - 31.12.2017
	
День	ID Интернет заказа	Код товара	Количество отгрузок	Сумма отгрузок	Количество возвратов	Сумма возвратов
23.03.2017	745 335	27 645	1	4 680		
09.01.2017	2 174 426	27 645	1	4 935		
07.04.2017	1 313 011	27 645	1	4 985		
10.03.2017	2 524 733	117 743	1	11 795		
13.01.2017	4 691 119	124 696	1	1 050		
18.05.2017	1 707 179	131 789	1	10 195		
12.01.2017	4 431 012	131 796	1	9 345		
22.08.2017	3 029 876	131 838	1	20 755		
20.06.2017	3 728 409	117 966	1	10 205		
28.02.2017	1 634 845	117 967	1	10 605		
20.01.2017	5 848 754	132 043	1	1 315		
21.06.2017	4 694 099	132 225	1	275		
02.02.2017	4 811 312	36 134	2	1 160		
19.01.2017	2 789 545	36 152	1	875		
25.09.2017	2 328 788	36 152	1	875		
09.06.2017	4 005 994	36 152	1	1 050		
25.09.2017	5 534 958	104 240	1	6 145		
17.08.2017	774 050	104 241	1	8 575		
03.02.2017	2 958 290	104 241	1	6 490		
18.05.2017	1 707 179	118 242			1	7 895
18.05.2017	1 707 179	118 242	1	7 895		
28.06.2017	3 365 257	118 243	1	7 895		
30.03.2017	1 897 889	118 243	1	8 145		
25.04.2017	5 523 201	118 301	1	27 520		
26.07.2017	4 654 622	139 749	1	12 045		
29.06.2017	160 500	139 753	1	12 680		
16.02.2017	3 311 275	80 327	1	1 925		
10.02.2017	3 567 798	95 751	1	9 085		
13.02.2017	3 567 798	95 751			1	9 085
24.07.2017	410 421	95 751	1	9 220		
05.05.2017	5 278 822	110 339	1	71 040		
05.05.2017	5 278 822	110 339			1	71 040
27.02.2017	4 049 947	124 288	1	12 145		
20.03.2017	579 720	124 317	1	7 535		
25.01.2017	1 831 066	124 317	1	7 635		
13.07.2017	1 024 692	124 355	1	5 395		
14.09.2017	1 762 844	124 390	1	1 140		
15.09.2017	4 646 152	124 390	1	1 140		
15.09.2017	1 762 844	124 390			1	1 140
13.01.2017	2 197 785	124 390	1	1 140		
31.08.2017	4 560 402	124 560	1	10 210		
01.09.2017	4 560 402	124 560			1	10 210
30.06.2017	2 544 330	131 560	1	2 215		
16.02.2017	4 362 723	131 568	1	1 815		
12.07.2017	4 910 103	131 601	1	965		
07.03.2017	1 730 041	131 601	1	875		
20.01.2017	4 934 059	131 612	1	965		
05.09.2017	889 572	131 612	1	965		
07.09.2017	889 572	131 612			1	965
20.01.2017	3 737 419	131 612	1	965		
20.04.2017	328 873	131 633	1	13 230		
15.09.2017	984 397	131 633	1	10 570		
18.09.2017	984 397	131 633			1	10 570
31.03.2017	4 810 961	138 715	1	1 110		
15.06.2017	275 779	138 715	1	1 345		
16.06.2017	275 779	138 715			1	1 345
27.03.2017	887 096	132 772	1	2 890		
29.03.2017	887 096	132 772			1	2 890
27.02.2017	2 345 063	132 808	1	1 140		
28.02.2017	2 345 063	132 808			1	1 140
01.03.2017	4 982 069	132 952	1	1 490		
17.02.2017	5 073 783	132 952	1	1 490		
20.02.2017	5 073 783	132 952			1	1 490
13.07.2017	968 081	132 952			1	1 640
13.01.2017	4 901 944	132 952	1	1 490		
12.07.2017	968 081	132 952	1	1 640		
31.07.2017	194 175	95 733	1	1 580		
24.01.2017	1 114 017	95 733	1	1 770		
02.02.2017	4 694 022	117 366	1	9 935		
20.03.2017	4 506 700	117 464	1	4 200		
21.09.2017	3 141 429	124 281			1	7 385
20.09.2017	3 141 429	124 281	1	7 385		
09.02.2017	539 030	124 298	1	10 005		
13.03.2017	5 723 713	124 403	1	4 045		
01.02.2017	3 320 990	124 405	1	1 355		
18.08.2017	1 845 659	124 526	1	15 150		
21.08.2017	1 845 659	124 526			1	15 150
28.07.2017	4 601 594	131 466	1	2 120		
09.06.2017	3 847 151	138 541	1	3 950		
16.08.2017	250 396	138 541	1	3 760		
