
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
Металлообработка	14.04.2016 23:59:59	Розница	4 688 333,61	3 516 379,24	1
Насосное	14.04.2016 23:59:59	Дилер	1 268 895,19	2 339 199,97	17
Насосное	14.04.2016 23:59:59	КПК	246 346,83	246 346,83	1
Насосное	14.04.2016 23:59:59	Розница	1 042 454,89	1 078 636,74	5
Подготовка поверхности	14.04.2016 23:59:59	Розница	145 581,19	146 458,34	3
Сварочное	14.04.2016 23:59:59	Дилер	1 304 227,42	1 467 044,85	4
Сварочное	14.04.2016 23:59:59	КПК	2 122 719,83	2 360 251,58	1
Сварочное	14.04.2016 23:59:59	Розница	387 321,64	387 333,64	6
Строительное	14.04.2016 23:59:59	Розница	23 364,00	23 364,00	1
Химическое	14.04.2016 23:59:59	Дилер	112 100,49	120 075,13	2
Автосервис	15.04.2016 23:59:59	Розница	570,77	798,86	1
Дуговая сварка.	15.04.2016 23:59:59	Розница	210 323,64	210 323,64	1
ЗЧ и РМ	15.04.2016 23:59:59	Дилер	58 056,98	60 715,67	7
ЗЧ и РМ	15.04.2016 23:59:59	Розница	224 070,55	224 070,55	13
Компрессорное	15.04.2016 23:59:59	Дилер	314 676,50	314 676,50	3
Компрессорное	15.04.2016 23:59:59	Розница	1 720 614,36	1 726 206,66	8
Насосное	15.04.2016 23:59:59	Дилер	567 587,95	602 753,08	7
Насосное	15.04.2016 23:59:59	КПК	246 346,83	246 346,83	1
Насосное	15.04.2016 23:59:59	Розница	505 359,68	505 359,68	5
Подготовка поверхности	15.04.2016 23:59:59	Розница	1 327 458,43	1 391 789,35	9
Сварочное	15.04.2016 23:59:59	Дилер	198 764,27	212 926,98	2
Сварочное	15.04.2016 23:59:59	КПК	69 943,45	75 055,78	1
Сварочное	15.04.2016 23:59:59	Розница	671 768,13	671 768,13	7
Химическое	15.04.2016 23:59:59	Дилер	209 223,44	209 223,44	1
Дуговая сварка.	18.04.2016 23:59:59	Дилер	40 484,91	43 523,50	5
ЗЧ и РМ	18.04.2016 23:59:59	Дилер	258 048,79	263 832,83	10
ЗЧ и РМ	18.04.2016 23:59:59	Розница	389 978,34	285 346,66	18
Компрессорное	18.04.2016 23:59:59	Дилер	818 241,63	855 575,92	6
Компрессорное	18.04.2016 23:59:59	Розница	170 955,98	170 955,98	4
Насосное	18.04.2016 23:59:59	Дилер	3 679 009,52	4 395 569,80	26
Насосное	18.04.2016 23:59:59	Розница	518 872,93	533 500,02	9
Подготовка поверхности	18.04.2016 23:59:59	Дилер	46 706,04	87 965,88	4
Подготовка поверхности	18.04.2016 23:59:59	Розница	178 636,30	178 678,45	4
Сварочное	18.04.2016 23:59:59	Дилер	80 902,22	86 281,17	8
Строительное	18.04.2016 23:59:59	Розница	2 804,86	2 804,86	1
Химическое	18.04.2016 23:59:59	Дилер	81 981,51	87 721,79	1
Химическое	18.04.2016 23:59:59	Розница	742 648,94	792 098,77	3
Автосервис	19.04.2016 23:59:59	Розница	8 228,23	8 799,00	2
АТП	19.04.2016 23:59:59	Розница	3 569 275,53	2 322 110,18	1
Дуговая сварка.	19.04.2016 23:59:59	Дилер	734,00	734,00	1
Дуговая сварка.	19.04.2016 23:59:59	Розница	56 676,58	56 676,58	1
ЗЧ и РМ	19.04.2016 23:59:59	Дилер	52 034,59	56 603,83	3
ЗЧ и РМ	19.04.2016 23:59:59	КПК	215 917,90	139 323,34	2
ЗЧ и РМ	19.04.2016 23:59:59	Розница	212 444,91	212 444,91	12
Компрессорное	19.04.2016 23:59:59	Дилер	244 427,23	246 928,64	4
Компрессорное	19.04.2016 23:59:59	Розница	143 819,58	143 819,58	3
Насосное	19.04.2016 23:59:59	Дилер	499 363,29	503 137,04	5
Насосное	19.04.2016 23:59:59	Розница	261 719,19	203 926,69	4
Подготовка поверхности	19.04.2016 23:59:59	Розница	165 937,10	165 937,10	6
Сварочное	19.04.2016 23:59:59	КПК	70 813,30	275 696,65	2
Сварочное	19.04.2016 23:59:59	Розница	27 675,72	27 675,72	1
Строительное	19.04.2016 23:59:59	Розница	125 662,40	135 832,74	1
Химическое	19.04.2016 23:59:59	Розница	560 043,99	386 840,60	2
АТП	20.04.2016 23:59:59	Розница	685 894,59	446 231,40	1
Дуговая сварка.	20.04.2016 23:59:59	Дилер	177 650,92	178 807,89	2
Дуговая сварка.	20.04.2016 23:59:59	Розница	8 623,35	8 624,00	1
ЗЧ и РМ	20.04.2016 23:59:59	Дилер	41 224,22	41 939,10	6
ЗЧ и РМ	20.04.2016 23:59:59	КПК		307 331,46	1
ЗЧ и РМ	20.04.2016 23:59:59	Розница	274 185,51	244 946,05	17
Компрессорное	20.04.2016 23:59:59	Дилер	522 161,41	523 087,71	4
Компрессорное	20.04.2016 23:59:59	Розница	1 274 255,13	1 130 558,78	8
Насосное	20.04.2016 23:59:59	Дилер	1 199 384,81	1 279 789,32	16
Насосное	20.04.2016 23:59:59	Розница	1 524 198,02	1 592 938,77	8
Подготовка поверхности	20.04.2016 23:59:59	Розница	235 974,81	246 957,66	2
Сварочное	20.04.2016 23:59:59	Розница	298 439,82	316 724,47	4
Строительное	20.04.2016 23:59:59	Дилер	4 218,00	4 218,00	1
Химическое	20.04.2016 23:59:59	Дилер	195 502,92	135 464,00	3
Химическое	20.04.2016 23:59:59	Розница	86 110,64	90 979,79	3
Дуговая сварка.	21.04.2016 23:59:59	Дилер	8 162,37	9 113,02	1
ЗЧ и РМ	21.04.2016 23:59:59	Дилер	71 908,12	74 987,14	5
ЗЧ и РМ	21.04.2016 23:59:59	Розница	82 041,58	138 528,00	11
Компрессорное	21.04.2016 23:59:59	Дилер	201 249,42	201 249,42	4
Компрессорное	21.04.2016 23:59:59	Розница	73 055,00	189 285,00	2
Металлообработка	21.04.2016 23:59:59	Розница	9 476,81	10 126,44	1
Насосное	21.04.2016 23:59:59	Дилер	59 244,58	63 759,09	2
Насосное	21.04.2016 23:59:59	КПК		60 226,02	1
Насосное	21.04.2016 23:59:59	Розница	624 601,15	628 540,17	6
Подготовка поверхности	21.04.2016 23:59:59	Розница	14 800,00	14 800,00	1
Сварочное	21.04.2016 23:59:59	Розница	9 980,00	9 980,00	1
Строительное	21.04.2016 23:59:59	Розница	84 360,00	84 360,00	1
Химическое	21.04.2016 23:59:59	Розница	391 076,92	126 263,26	1
Автосервис	22.04.2016 23:59:59	Розница	6 500,00	6 500,00	1
Дуговая сварка.	22.04.2016 23:59:59	Дилер	6 112,99	6 358,28	4
ЗЧ и РМ	22.04.2016 23:59:59	Дилер	341 883,75	360 052,09	7
ЗЧ и РМ	22.04.2016 23:59:59	Розница	347 888,02	358 027,52	13
Компрессорное	22.04.2016 23:59:59	Дилер	403 930,77	404 270,64	6
Компрессорное	22.04.2016 23:59:59	Розница	229 328,02	229 327,98	4
Насосное	22.04.2016 23:59:59	Дилер	1 738 202,06	2 247 136,29	16
Насосное	22.04.2016 23:59:59	Розница	602 884,04	546 961,58	7
Подготовка поверхности	22.04.2016 23:59:59	Розница	72 612,41	72 612,41	4
Сварочное	22.04.2016 23:59:59	Дилер	888 566,99	971 093,51	8
Сварочное	22.04.2016 23:59:59	Розница	3 576 282,68	1 964 054,57	3
Химическое	22.04.2016 23:59:59	Дилер	183 811,52	193 726,60	1
Химическое	22.04.2016 23:59:59	Розница	285 305,01	153 921,75	3
Насосное	23.04.2016 23:59:59	Розница	109 087,08	109 087,08	2
Дуговая сварка.	25.04.2016 23:59:59	Дилер	224 813,52	250 000,00	1
Дуговая сварка.	25.04.2016 23:59:59	Розница	142 460,65	151 042,58	1
ЗЧ и РМ	25.04.2016 23:59:59	Дилер	106 169,40	113 530,20	5
ЗЧ и РМ	25.04.2016 23:59:59	Розница	830 131,59	830 131,21	10
Компрессорное	25.04.2016 23:59:59	Дилер	38 620,26	41 484,69	2
Компрессорное	25.04.2016 23:59:59	Розница	1 105 766,17	1 002 524,09	5
Насосное	25.04.2016 23:59:59	Дилер	522 462,29	492 643,20	11
Насосное	25.04.2016 23:59:59	Розница	196 929,71	208 826,36	5
Подготовка поверхности	25.04.2016 23:59:59	Дилер	53 131,40	53 131,40	4
Подготовка поверхности	25.04.2016 23:59:59	Розница	45 190,96	45 190,96	1
Сварочное	25.04.2016 23:59:59	Дилер	111 220,89	119 193,74	4
Сварочное	25.04.2016 23:59:59	Розница	431 186,10	431 186,10	7
Строительное	25.04.2016 23:59:59	Дилер	11 682,00	11 682,00	1
Химическое	25.04.2016 23:59:59	Розница	42 285,20	45 489,80	1
ЗЧ и РМ	26.04.2016 23:59:59	Дилер	353 818,03	340 410,17	6
ЗЧ и РМ	26.04.2016 23:59:59	Розница	200 584,88	202 410,58	12
Компрессорное	26.04.2016 23:59:59	Дилер	65 940,23	49 243,11	4
Компрессорное	26.04.2016 23:59:59	Розница	185 405,41	192 575,96	4
Насосное	26.04.2016 23:59:59	Дилер	200 540,92	214 276,70	7
Насосное	26.04.2016 23:59:59	Розница	452 471,49	470 680,40	8
Подготовка поверхности	26.04.2016 23:59:59	Розница	263 317,57	263 317,57	4
Сварочное	26.04.2016 23:59:59	Дилер	46 679,47	46 679,47	1
Сварочное	26.04.2016 23:59:59	Розница	745 597,05	745 597,05	3
Строительное	26.04.2016 23:59:59	Розница	94 710,06	94 710,06	3
Химическое	26.04.2016 23:59:59	Розница	30 366,95	30 366,95	1
АТП	27.04.2016 23:59:59	Розница	15 333,89	16 478,53	1
Дуговая сварка.	27.04.2016 23:59:59	Дилер	2 805,00	2 805,00	1
ЗЧ и РМ	27.04.2016 23:59:59	Дилер	61 163,44	45 500,52	4
ЗЧ и РМ	27.04.2016 23:59:59	КПК	178 336,19	188 450,22	1
ЗЧ и РМ	27.04.2016 23:59:59	Розница	321 816,05	211 803,00	16
Компрессорное	27.04.2016 23:59:59	Дилер	67 747,91	72 805,13	1
Компрессорное	27.04.2016 23:59:59	Розница	431 208,98	431 683,38	6
Насосное	27.04.2016 23:59:59	Дилер	299 229,32	322 213,88	8
Насосное	27.04.2016 23:59:59	Розница	83 973,05	-82 138,74	4
Подготовка поверхности	27.04.2016 23:59:59	Розница	216 468,24	216 468,24	1
Сварочное	27.04.2016 23:59:59	Дилер	37 519,24	40 318,84	2
Сварочное	27.04.2016 23:59:59	КПК	36 012,05	38 054,40	1
Химическое	27.04.2016 23:59:59	Розница	330 331,05	354 857,31	3
Автосервис	28.04.2016 23:59:59	Розница	9 599,00	6 801,14	2
Дуговая сварка.	28.04.2016 23:59:59	Розница	362 497,52	362 497,52	3
ЗЧ и РМ	28.04.2016 23:59:59	Дилер	38 558,22	40 097,95	3
ЗЧ и РМ	28.04.2016 23:59:59	Розница	61 472,41	61 472,39	13
Компрессорное	28.04.2016 23:59:59	Дилер	440 038,46	440 876,00	6
Компрессорное	28.04.2016 23:59:59	Розница	239 935,72	240 526,52	8
Металлообработка	28.04.2016 23:59:59	Розница	1 442 857,14	505 000,00	1
Насосное	28.04.2016 23:59:59	Дилер	2 009 273,64	1 915 888,52	19
Насосное	28.04.2016 23:59:59	Розница	65 600,48	67 491,22	3
Подготовка поверхности	28.04.2016 23:59:59	Дилер	60 000,00	60 000,00	1
Подготовка поверхности	28.04.2016 23:59:59	Розница	314 701,49	314 701,49	6
Сварочное	28.04.2016 23:59:59	Розница	1 730 750,42	1 070 601,05	4
Химическое	28.04.2016 23:59:59	Дилер	113 164,02	119 689,93	2
Химическое	28.04.2016 23:59:59	Розница	17 350,00	306 303,72	2
Автосервис	29.04.2016 23:59:59	Розница	10 700,00	10 700,00	1
АТП	29.04.2016 23:59:59	Розница	52 443,48	55 437,45	1
Дуговая сварка.	29.04.2016 23:59:59	Розница	90 000,00	90 000,00	1
