
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
Сварочное	14.06.2017 23:59:59	Дилер	2 171 414,27	2 161 345,78	6
Сварочное	14.06.2017 23:59:59	Розница	200 461,61	183 926,39	2
Химическое	14.06.2017 23:59:59	Дилер	28 438,05	26 258,49	1
Химическое	14.06.2017 23:59:59	Розница	216 986,96	200 241,15	3
Дуговая сварка.	15.06.2017 23:59:59	Дилер	203 807,06	187 524,48	2
Дуговая сварка.	15.06.2017 23:59:59	КПК	744 385,00	744 385,00	1
Дуговая сварка.	15.06.2017 23:59:59	Розница	52 359,15	52 359,15	3
ЗЧ и РМ	15.06.2017 23:59:59	Дилер	11 097,35	11 097,35	1
ЗЧ и РМ	15.06.2017 23:59:59	КПК	6 724 625,12	4 889 026,73	5
ЗЧ и РМ	15.06.2017 23:59:59	Розница	250 504,16	243 458,96	12
Компрессорное	15.06.2017 23:59:59	Дилер	95 270,00	95 270,00	2
Компрессорное	15.06.2017 23:59:59	Розница	1 079 828,18	1 079 828,17	10
Насосное	15.06.2017 23:59:59	Дилер	173 507,15	159 302,53	5
Насосное	15.06.2017 23:59:59	КПК	12 462,27	11 433,92	1
Насосное	15.06.2017 23:59:59	Розница	1 107 685,44	1 068 040,85	16
Подготовка поверхности	15.06.2017 23:59:59	Дилер	49 681,45	49 681,45	1
Подготовка поверхности	15.06.2017 23:59:59	Розница	168 290,00	168 290,00	2
Сварочное	15.06.2017 23:59:59	Дилер	519 609,77	476 733,09	4
Сварочное	15.06.2017 23:59:59	Розница	43 122,82	43 122,82	3
Химическое	15.06.2017 23:59:59	Дилер	96 045,91	88 120,48	1
Химическое	15.06.2017 23:59:59	КПК	136 327,34	125 078,01	1
Автосервис	16.06.2017 23:59:59	Розница	220 000,00	220 000,00	1
Дуговая сварка.	16.06.2017 23:59:59	Розница	10 374,40	10 374,40	1
ЗЧ и РМ	16.06.2017 23:59:59	Дилер	70 370,28	67 513,83	7
ЗЧ и РМ	16.06.2017 23:59:59	Розница	372 269,57	369 363,39	13
Компрессорное	16.06.2017 23:59:59	Дилер	1 272 400,00	1 272 400,00	3
Компрессорное	16.06.2017 23:59:59	Розница	387 695,95	386 924,14	7
Металлообработка	16.06.2017 23:59:59	Розница	777 201,52	720 187,27	1
Насосное	16.06.2017 23:59:59	Дилер	950 753,71	509 305,12	11
Насосное	16.06.2017 23:59:59	Розница	548 757,89	543 088,02	6
Подготовка поверхности	16.06.2017 23:59:59	Дилер	17 040,00	17 040,00	1
Подготовка поверхности	16.06.2017 23:59:59	Розница	738 125,00	738 125,00	3
Сварочное	16.06.2017 23:59:59	Розница	1 604 139,42	1 558 427,47	9
Химическое	16.06.2017 23:59:59	Розница	145 425,27	136 609,10	4
Автосервис	19.06.2017 23:59:59	Розница	415 000,00	415 000,00	1
Дуговая сварка.	19.06.2017 23:59:59	Розница	37 326,62	37 326,62	4
ЗЧ и РМ	19.06.2017 23:59:59	Дилер	297 233,24	285 810,77	21
ЗЧ и РМ	19.06.2017 23:59:59	КПК	188 298,92	188 298,92	2
ЗЧ и РМ	19.06.2017 23:59:59	Розница	851 820,97	850 330,11	18
Компрессорное	19.06.2017 23:59:59	Дилер	73 586,90	73 096,65	3
Компрессорное	19.06.2017 23:59:59	Розница	477 593,56	458 370,00	7
Насосное	19.06.2017 23:59:59	Дилер	2 912 458,19	2 592 590,22	16
Насосное	19.06.2017 23:59:59	Розница	365 349,96	365 349,96	11
Подготовка поверхности	19.06.2017 23:59:59	КПК	737 200,00	737 200,00	1
Подготовка поверхности	19.06.2017 23:59:59	Розница	139 400,00	139 400,00	5
Сварочное	19.06.2017 23:59:59	Дилер	1 280 027,88	1 259 767,19	5
Сварочное	19.06.2017 23:59:59	Розница	949 336,99	916 198,06	4
Химическое	19.06.2017 23:59:59	Дилер	178 988,32	165 523,26	1
Химическое	19.06.2017 23:59:59	Розница	120 697,23	111 617,34	1
Автосервис	20.06.2017 23:59:59	Розница	73 912,00	73 912,00	1
Дуговая сварка.	20.06.2017 23:59:59	Розница	33 921,80	33 921,80	5
ЗЧ и РМ	20.06.2017 23:59:59	Дилер	81 513,88	77 727,43	9
ЗЧ и РМ	20.06.2017 23:59:59	Розница	529 834,39	529 834,39	19
Компрессорное	20.06.2017 23:59:59	Дилер	294 323,64	290 840,21	5
Компрессорное	20.06.2017 23:59:59	Розница	1 733 697,13	1 733 697,13	7
Металлообработка	20.06.2017 23:59:59	Розница	900 229,76	856 991,20	2
Насосное	20.06.2017 23:59:59	Дилер	1 738 572,25	1 448 800,92	28
Насосное	20.06.2017 23:59:59	Розница	423 911,58	415 518,49	7
Подготовка поверхности	20.06.2017 23:59:59	Розница	382 685,73	382 684,85	5
Сварочное	20.06.2017 23:59:59	Дилер	51 019,34	47 478,03	2
Сварочное	20.06.2017 23:59:59	Розница	1 585 596,31	1 481 934,82	8
Химическое	20.06.2017 23:59:59	Дилер	838 805,42	807 738,48	4
Химическое	20.06.2017 23:59:59	Розница	61 556,30	58 526,39	1
Автосервис	21.06.2017 23:59:59	Розница	193 940,00	200 610,00	2
АТП	21.06.2017 23:59:59	Розница	976 978,84	960 218,70	1
Дуговая сварка.	21.06.2017 23:59:59	Дилер	23 750,00	23 750,00	4
Дуговая сварка.	21.06.2017 23:59:59	Розница	99 248,45	99 248,45	1
ЗЧ и РМ	21.06.2017 23:59:59	Дилер	122 214,47	119 930,97	10
ЗЧ и РМ	21.06.2017 23:59:59	Розница	285 942,86	283 816,62	28
Компрессорное	21.06.2017 23:59:59	Дилер	158 768,38	158 545,09	2
Компрессорное	21.06.2017 23:59:59	Розница	1 143 690,81	1 143 690,80	4
Металлообработка	21.06.2017 23:59:59	Розница	353 820,59	326 605,00	1
Насосное	21.06.2017 23:59:59	Дилер	1 153 616,08	954 380,65	15
Насосное	21.06.2017 23:59:59	Розница	723 486,86	706 506,54	9
Подготовка поверхности	21.06.2017 23:59:59	Дилер	631 279,62	583 741,12	3
Подготовка поверхности	21.06.2017 23:59:59	Розница	226 183,74	193 345,59	4
Сварочное	21.06.2017 23:59:59	Дилер	546 060,99	507 657,02	7
Сварочное	21.06.2017 23:59:59	КПК	87 838,40	87 838,40	1
Сварочное	21.06.2017 23:59:59	Розница	4 111 136,56	2 070 857,89	6
Химическое	21.06.2017 23:59:59	Дилер	324 837,31	304 431,00	1
Химическое	21.06.2017 23:59:59	Розница	68 909,20	68 909,20	1
Дуговая сварка.	22.06.2017 23:59:59	Розница	28 101,00	28 101,00	2
ЗЧ и РМ	22.06.2017 23:59:59	Дилер	135 021,17	135 021,17	6
ЗЧ и РМ	22.06.2017 23:59:59	КПК	1 344,00	1 344,00	1
ЗЧ и РМ	22.06.2017 23:59:59	Розница	131 832,46	131 832,28	12
Компрессорное	22.06.2017 23:59:59	Дилер	59 845,00	59 845,00	2
Компрессорное	22.06.2017 23:59:59	Розница	491 203,30	491 203,18	9
Металлообработка	22.06.2017 23:59:59	Розница	1 291 831,15	1 253 146,10	2
Насосное	22.06.2017 23:59:59	Дилер	45 483,80	43 590,36	3
Насосное	22.06.2017 23:59:59	Розница	296 007,57	293 559,21	6
Подготовка поверхности	22.06.2017 23:59:59	Дилер	213 872,10	213 872,10	1
Подготовка поверхности	22.06.2017 23:59:59	Розница	180 397,51	180 397,51	5
Сварочное	22.06.2017 23:59:59	Дилер	18 825,83	18 041,81	2
Сварочное	22.06.2017 23:59:59	Розница	339 522,30	101 856,69	1
Химическое	22.06.2017 23:59:59	Дилер	48 643,98	46 618,72	1
Дуговая сварка.	23.06.2017 23:59:59	Дилер	71 408,45	70 000,00	1
Дуговая сварка.	23.06.2017 23:59:59	Розница	147 525,80	147 525,80	2
ЗЧ и РМ	23.06.2017 23:59:59	Дилер	142 803,11	119 014,40	6
ЗЧ и РМ	23.06.2017 23:59:59	Розница	191 511,74	186 969,13	19
Компрессорное	23.06.2017 23:59:59	Дилер	137 324,35	137 064,23	5
Компрессорное	23.06.2017 23:59:59	Розница	619 888,78	619 888,76	4
Насосное	23.06.2017 23:59:59	Дилер	187 614,49	187 563,91	5
Насосное	23.06.2017 23:59:59	Розница	967 101,71	969 369,13	10
Подготовка поверхности	23.06.2017 23:59:59	Розница	348 196,54	349 221,09	5
Сварочное	23.06.2017 23:59:59	Дилер	15 682,39	15 108,64	1
Сварочное	23.06.2017 23:59:59	Розница	278 223,66	278 223,85	4
Химическое	23.06.2017 23:59:59	Розница	218 317,15	213 080,14	2
Автосервис	26.06.2017 23:59:59	Розница	217 900,00	217 900,00	3
Дуговая сварка.	26.06.2017 23:59:59	Розница	6 840,00	6 840,00	1
ЗЧ и РМ	26.06.2017 23:59:59	Дилер	87 132,48	85 796,01	5
ЗЧ и РМ	26.06.2017 23:59:59	КПК	138 494,73	138 494,73	3
ЗЧ и РМ	26.06.2017 23:59:59	Розница	1 538 912,29	1 536 118,02	16
Компрессорное	26.06.2017 23:59:59	Дилер	74 500,00	74 500,00	2
Компрессорное	26.06.2017 23:59:59	Розница	223 729,13	223 133,87	4
Насосное	26.06.2017 23:59:59	Дилер	846 977,75	799 299,77	12
Насосное	26.06.2017 23:59:59	КПК	15 105,72	15 105,72	1
Насосное	26.06.2017 23:59:59	Розница	220 862,12	218 863,82	5
Подготовка поверхности	26.06.2017 23:59:59	Дилер	2 012 740,92	1 854 158,85	2
Подготовка поверхности	26.06.2017 23:59:59	Розница	421 022,37	540 766,69	7
Сварочное	26.06.2017 23:59:59	Дилер	26 876,13	25 711,04	2
Сварочное	26.06.2017 23:59:59	КПК	21 960,24	21 960,24	1
Сварочное	26.06.2017 23:59:59	Розница	20 114,43	20 114,43	4
Химическое	26.06.2017 23:59:59	Розница	10 005 446,86	6 700 194,84	1
АТП	27.06.2017 23:59:59	Розница	366 850,00	366 850,00	1
Дуговая сварка.	27.06.2017 23:59:59	КПК	65 410,63	65 410,63	2
Дуговая сварка.	27.06.2017 23:59:59	Розница	25 090,00	25 090,00	2
ЗЧ и РМ	27.06.2017 23:59:59	Дилер	180 052,48	175 035,93	9
ЗЧ и РМ	27.06.2017 23:59:59	КПК	344 073,35	323 137,19	3
ЗЧ и РМ	27.06.2017 23:59:59	Розница	427 476,92	393 921,38	19
Комплексные поставки	27.06.2017 23:59:59	КПК	673 750,50	673 750,50	1
Компрессорное	27.06.2017 23:59:59	Дилер	41 248,16	39 106,87	2
Компрессорное	27.06.2017 23:59:59	Розница	507 276,31	506 706,39	12
Металлообработка	27.06.2017 23:59:59	Розница	3 101 627,75	882 188,57	1
Насосное	27.06.2017 23:59:59	Дилер	914 443,25	895 663,99	14
Насосное	27.06.2017 23:59:59	Розница	1 239 970,59	-459 354,97	6
Подготовка поверхности	27.06.2017 23:59:59	Дилер	98 080,00	98 080,00	3
Подготовка поверхности	27.06.2017 23:59:59	Розница	146 219,28	143 554,66	3
Сварочное	27.06.2017 23:59:59	Дилер	683 903,34	648 403,69	4
Сварочное	27.06.2017 23:59:59	Розница	1 051 734,68	1 051 032,17	4
Химическое	27.06.2017 23:59:59	Розница	53 642,83	50 858,38	1
АТП	28.06.2017 23:59:59	Розница	8 576,40	8 538,23	1
Дуговая сварка.	28.06.2017 23:59:59	Розница	241 205,85	241 205,85	3
ЗЧ и РМ	28.06.2017 23:59:59	Дилер	209 261,88	203 502,59	17
ЗЧ и РМ	28.06.2017 23:59:59	Розница	318 810,32	318 719,39	21
Компрессорное	28.06.2017 23:59:59	Дилер	176 875,23	168 272,62	3
Компрессорное	28.06.2017 23:59:59	Розница	1 074 102,74	1 066 727,84	10
Насосное	28.06.2017 23:59:59	Дилер	2 802 712,17	2 681 607,63	35
Насосное	28.06.2017 23:59:59	Розница	1 858 571,96	1 659 935,31	11
Подготовка поверхности	28.06.2017 23:59:59	Дилер	765 924,14	724 341,24	4
Подготовка поверхности	28.06.2017 23:59:59	Розница	239 744,90	240 747,93	4
Сварочное	28.06.2017 23:59:59	Дилер	410 246,14	395 408,02	1
Сварочное	28.06.2017 23:59:59	КПК	2 160 000,00	2 160 000,00	2
Сварочное	28.06.2017 23:59:59	Розница	2 566 906,81	2 029 182,77	9
Химическое	28.06.2017 23:59:59	Розница	185 392,25	175 571,97	5
Дуговая сварка.	29.06.2017 23:59:59	Розница	189 938,70	189 938,70	1
ЗЧ и РМ	29.06.2017 23:59:59	Дилер	66 194,80	65 609,11	5
ЗЧ и РМ	29.06.2017 23:59:59	КПК	411 003,21	394 119,37	3
ЗЧ и РМ	29.06.2017 23:59:59	Розница	466 673,04	469 820,50	21
Компрессорное	29.06.2017 23:59:59	Дилер	35 716,77		2
Компрессорное	29.06.2017 23:59:59	Розница	1 159 285,63	1 156 121,45	5
Насосное	29.06.2017 23:59:59	Дилер	367 085,09	342 586,72	6
Насосное	29.06.2017 23:59:59	Розница	1 425 621,66	1 425 621,67	10
НГО	29.06.2017 23:59:59	КПК	2 295 125,28	2 295 125,28	1
Подготовка поверхности	29.06.2017 23:59:59	Дилер	30 900,00	30 900,00	2
Подготовка поверхности	29.06.2017 23:59:59	Розница	805 786,37	799 902,59	4
Сварочное	29.06.2017 23:59:59	Дилер	540 031,73	524 437,33	2
Сварочное	29.06.2017 23:59:59	Розница	338 665,86	338 665,86	6
Химическое	29.06.2017 23:59:59	Розница	275 195,88	248 850,52	1
Автосервис	30.06.2017 23:59:59	Розница	1 154 200,00	1 154 200,00	2
Дуговая сварка.	30.06.2017 23:59:59	КПК	62,88	56,50	1
Дуговая сварка.	30.06.2017 23:59:59	Розница	24 878,50	24 878,50	2
ЗЧ и РМ	30.06.2017 23:59:59	Дилер	293 175,11	272 648,15	11
ЗЧ и РМ	30.06.2017 23:59:59	КПК	294 197,27	294 110,40	2
ЗЧ и РМ	30.06.2017 23:59:59	Розница	681 031,13	673 119,14	24
Комплексные поставки	30.06.2017 23:59:59	КПК	3 938 878,30	3 938 878,30	1
Компрессорное	30.06.2017 23:59:59	Дилер	66 735,00	66 735,00	1
Компрессорное	30.06.2017 23:59:59	Розница	2 385 599,21	2 027 318,52	5
Металлообработка	30.06.2017 23:59:59	Розница	42 377,30	41 153,57	1
Насосное	30.06.2017 23:59:59	Дилер	1 434 498,95	1 386 073,16	20
Насосное	30.06.2017 23:59:59	КПК	2 000 697,39	2 000 697,39	1
Насосное	30.06.2017 23:59:59	Розница	451 730,07	451 026,32	8
Подготовка поверхности	30.06.2017 23:59:59	Дилер	150 599,59	140 941,71	1
Подготовка поверхности	30.06.2017 23:59:59	КПК	105 220,86	97 873,99	1
Подготовка поверхности	30.06.2017 23:59:59	Розница	87 100,00	47 100,00	4
Сварочное	30.06.2017 23:59:59	Дилер	-8 572 555,83	1 101 869,97	6
Сварочное	30.06.2017 23:59:59	КПК	110 253,91	99 166,90	1
Сварочное	30.06.2017 23:59:59	Розница	1 394 548,36	1 384 455,25	8
Химическое	30.06.2017 23:59:59	Дилер	606 315,95	464 192,90	4
Химическое	30.06.2017 23:59:59	Розница	254 162,32	253 682,68	3
Дуговая сварка.	03.07.2017 23:59:59	Дилер	6 140,00	6 140,00	1
ЗЧ и РМ	03.07.2017 23:59:59	Дилер	47 107,55	46 152,77	4
ЗЧ и РМ	03.07.2017 23:59:59	КПК	60 000,00	60 000,00	1
ЗЧ и РМ	03.07.2017 23:59:59	Розница	344 871,83	343 407,47	24
Компрессорное	03.07.2017 23:59:59	Дилер	197 056,00	197 056,00	2
Компрессорное	03.07.2017 23:59:59	Розница	469 887,24	435 342,24	6
Насосное	03.07.2017 23:59:59	Дилер	378 662,85	370 714,80	8
Насосное	03.07.2017 23:59:59	Розница	1 960 245,44	1 960 244,42	5
Подготовка поверхности	03.07.2017 23:59:59	Розница	70 600,00	70 599,99	3
Сварочное	03.07.2017 23:59:59	Дилер	225 178,76	219 816,41	3
Сварочное	03.07.2017 23:59:59	Розница	686 754,53	610 264,80	1
Автосервис	04.07.2017 23:59:59	Розница	105 274,00	105 274,00	3
Дуговая сварка.	04.07.2017 23:59:59	Дилер	3 324,67	3 205,52	1
Дуговая сварка.	04.07.2017 23:59:59	Розница	54 200,78	54 200,78	2
ЗЧ и РМ	04.07.2017 23:59:59	Дилер	660 424,57	612 716,80	10
ЗЧ и РМ	04.07.2017 23:59:59	Розница	221 244,64	212 256,89	15
Компрессорное	04.07.2017 23:59:59	Дилер	858 494,75	830 172,06	2
Компрессорное	04.07.2017 23:59:59	Розница	1 291 917,60	1 279 707,87	7
Металлообработка	04.07.2017 23:59:59	Розница	145 881,37	141 572,49	2
Насосное	04.07.2017 23:59:59	Дилер	971 503,99	935 037,09	13
Насосное	04.07.2017 23:59:59	Розница	222 235,67	222 235,67	4
НГО	04.07.2017 23:59:59	КПК	1 101 849,99	1 106 294,83	1
Подготовка поверхности	04.07.2017 23:59:59	Дилер	21 726,92	21 094,99	4
Подготовка поверхности	04.07.2017 23:59:59	Розница	1 350 275,00	1 350 275,00	4
Сварочное	04.07.2017 23:59:59	Дилер	875,24	843,62	3
Сварочное	04.07.2017 23:59:59	Розница	261 694,16	255 636,84	5
Химическое	04.07.2017 23:59:59	Дилер	144 640,00	144 640,00	1
Химическое	04.07.2017 23:59:59	Розница	197 322,07	190 250,42	1
Автосервис	05.07.2017 23:59:59	Дилер	17 000,00	17 000,00	1
Дуговая сварка.	05.07.2017 23:59:59	Дилер	25 945,50	25 945,50	1
Дуговая сварка.	05.07.2017 23:59:59	Розница	847 165,63	847 165,63	4
ЗЧ и РМ	05.07.2017 23:59:59	Дилер	188 821,47	186 932,05	8
ЗЧ и РМ	05.07.2017 23:59:59	КПК	7 986,12	7 986,12	1
ЗЧ и РМ	05.07.2017 23:59:59	Розница	655 880,79	624 102,74	18
Компрессорное	05.07.2017 23:59:59	Дилер	39 999,11	39 255,65	3
Компрессорное	05.07.2017 23:59:59	Розница	20 358,00	20 358,00	2
Насосное	05.07.2017 23:59:59	Дилер	1 865 194,15	1 798 406,21	20
Насосное	05.07.2017 23:59:59	Розница	368 449,72	363 162,23	11
Подготовка поверхности	05.07.2017 23:59:59	Розница	731 250,00	731 250,00	1
Сварочное	05.07.2017 23:59:59	Дилер	672 151,47	576 762,87	5
Сварочное	05.07.2017 23:59:59	Розница	423 968,21	423 968,21	2
Дуговая сварка.	06.07.2017 23:59:59	Розница	179 504,81	179 504,81	1
ЗЧ и РМ	06.07.2017 23:59:59	Дилер	28 345,02	28 170,45	5
ЗЧ и РМ	06.07.2017 23:59:59	Розница	661 321,01	652 697,18	29
Компрессорное	06.07.2017 23:59:59	Дилер	511 800,00	511 800,00	3
Компрессорное	06.07.2017 23:59:59	Розница	1 130 383,97	1 116 805,13	8
Насосное	06.07.2017 23:59:59	Дилер	1 432 276,13	1 276 896,58	15
Насосное	06.07.2017 23:59:59	КПК	28 660,43	27 828,12	1
Насосное	06.07.2017 23:59:59	Розница	576 713,58	575 611,37	11
Подготовка поверхности	06.07.2017 23:59:59	Дилер	439 106,85	298 448,52	1
Подготовка поверхности	06.07.2017 23:59:59	Розница	1 344 154,00	1 344 154,00	5
Сварочное	06.07.2017 23:59:59	Дилер	388 897,42	377 603,69	3
Сварочное	06.07.2017 23:59:59	Розница	767 963,26	631 476,10	3
Химическое	06.07.2017 23:59:59	Дилер	232 642,99	225 886,95	1
Химическое	06.07.2017 23:59:59	Розница	143 321,89	137 863,58	3
Автосервис	07.07.2017 23:59:59	Розница	73 500,00	73 500,00	1
Дуговая сварка.	07.07.2017 23:59:59	Дилер	90 787,40	90 340,00	2
Дуговая сварка.	07.07.2017 23:59:59	Розница	22 271,50	22 271,50	2
ЗЧ и РМ	07.07.2017 23:59:59	Дилер	73 755,10	67 391,62	8
ЗЧ и РМ	07.07.2017 23:59:59	КПК	3 829 091,47	1 925 242,33	3
ЗЧ и РМ	07.07.2017 23:59:59	Розница	188 399,23	188 399,23	14
Компрессорное	07.07.2017 23:59:59	Дилер	1 303 328,74	831 107,86	5
Компрессорное	07.07.2017 23:59:59	Розница	960 040,00	960 040,00	5
Насосное	07.07.2017 23:59:59	Дилер	907 289,63	850 729,57	15
Насосное	07.07.2017 23:59:59	Розница	315 802,83	315 802,83	6
НГО	07.07.2017 23:59:59	КПК	1 971 400,00	1 971 400,00	1
Подготовка поверхности	07.07.2017 23:59:59	Дилер	113 700,00	113 700,00	1
Подготовка поверхности	07.07.2017 23:59:59	Розница	5 000,00	5 000,00	1
Сварочное	07.07.2017 23:59:59	Дилер	114 552,92	116 021,53	3
Сварочное	07.07.2017 23:59:59	Розница	93 177,83	77 228,13	4
Химическое	07.07.2017 23:59:59	Дилер	80 584,84	79 223,27	1
Химическое	07.07.2017 23:59:59	Розница	89 651,68	87 956,26	1
Дуговая сварка.	10.07.2017 23:59:59	Розница	138 863,48	138 863,48	1
ЗЧ и РМ	10.07.2017 23:59:59	Дилер	285 507,79	30 395,87	3
ЗЧ и РМ	10.07.2017 23:59:59	КПК	13 650,00	13 650,00	1
ЗЧ и РМ	10.07.2017 23:59:59	Розница	128 154,63	127 351,20	13
Компрессорное	10.07.2017 23:59:59	Дилер	30 900,00	30 900,00	1
Компрессорное	10.07.2017 23:59:59	Розница	140 674,11	140 674,11	1
Насосное	10.07.2017 23:59:59	Дилер	670 260,90	663 230,50	8
Насосное	10.07.2017 23:59:59	Розница	738 643,48	737 586,59	8
Подготовка поверхности	10.07.2017 23:59:59	Дилер	2 658 136,97	2 498 727,19	1
Подготовка поверхности	10.07.2017 23:59:59	Розница	97 533,27	97 533,27	4
Сварочное	10.07.2017 23:59:59	Дилер	44 612,22	44 181,79	2
Сварочное	10.07.2017 23:59:59	КПК	25 000,00	25 000,00	1
Сварочное	10.07.2017 23:59:59	Розница	1 256 207,61	1 256 177,51	5
Химическое	10.07.2017 23:59:59	Дилер	45 304,68	44 815,55	1
Автосервис	11.07.2017 23:59:59	Розница	14 500,00	14 500,00	1
Дуговая сварка.	11.07.2017 23:59:59	Дилер	78 912,57	78 858,87	3
Дуговая сварка.	11.07.2017 23:59:59	Розница	417 123,14	417 123,14	2
ЗЧ и РМ	11.07.2017 23:59:59	Дилер	428 614,95	266 043,26	7
ЗЧ и РМ	11.07.2017 23:59:59	КПК	12 123,93	11 309,15	1
ЗЧ и РМ	11.07.2017 23:59:59	Розница	831 894,43	831 830,81	25
Компрессорное	11.07.2017 23:59:59	Дилер	35 651,29	35 177,74	2
Компрессорное	11.07.2017 23:59:59	КПК	6 510,00	6 509,75	1
Компрессорное	11.07.2017 23:59:59	Розница	1 150 302,96	1 150 302,96	11
Насосное	11.07.2017 23:59:59	Дилер	1 641 008,30	1 623 271,30	24
Насосное	11.07.2017 23:59:59	Розница	1 345 171,10	1 344 169,19	9
НГО	11.07.2017 23:59:59	КПК	2 159 000,00	2 159 000,00	1
Подготовка поверхности	11.07.2017 23:59:59	Дилер	237 575,38	237 203,76	4
Подготовка поверхности	11.07.2017 23:59:59	КПК	1 161 605,00	1 161 604,76	4
Подготовка поверхности	11.07.2017 23:59:59	Розница	995 816,12	995 815,91	5
Сварочное	11.07.2017 23:59:59	Дилер	65 169,03	64 303,38	2
Сварочное	11.07.2017 23:59:59	Розница	1 221 422,53	1 179 238,66	8
Химическое	11.07.2017 23:59:59	Розница	26 601,86	26 404,29	1
Дуговая сварка.	12.07.2017 23:59:59	Дилер	8 085,14	8 027,28	1
Дуговая сварка.	12.07.2017 23:59:59	КПК	2 227 389,01	1 962 442,93	5
Дуговая сварка.	12.07.2017 23:59:59	Розница	5 689,09	5 689,09	2
ЗЧ и РМ	12.07.2017 23:59:59	Дилер	119 855,00	119 645,50	8
ЗЧ и РМ	12.07.2017 23:59:59	КПК	405 800,67	243 769,51	5
ЗЧ и РМ	12.07.2017 23:59:59	Розница	291 058,54	291 460,95	21
Компрессорное	12.07.2017 23:59:59	Дилер	1 134 215,11	1 133 028,47	4
Компрессорное	12.07.2017 23:59:59	Розница	48 500,00	48 500,00	2
Насосное	12.07.2017 23:59:59	Дилер	1 713 933,02	1 686 842,82	13
Насосное	12.07.2017 23:59:59	Розница	195 388,99	195 388,99	5
Подготовка поверхности	12.07.2017 23:59:59	Дилер	298 310,00	298 310,00	4
Подготовка поверхности	12.07.2017 23:59:59	Розница	35 448,58	35 448,58	3
Сварочное	12.07.2017 23:59:59	Дилер	31 002,34	30 780,47	3
Сварочное	12.07.2017 23:59:59	КПК	2 225 672,96	2 225 672,20	2
Сварочное	12.07.2017 23:59:59	Розница	921 419,10	918 459,85	6
Химическое	12.07.2017 23:59:59	Розница	82 314,24	82 314,24	1
Дуговая сварка.	13.07.2017 23:59:59	Дилер	127 625,04	125 655,40	2
Дуговая сварка.	13.07.2017 23:59:59	Розница	144 530,00	144 530,00	2
ЗЧ и РМ	13.07.2017 23:59:59	Дилер	33 583,97	33 522,18	3
ЗЧ и РМ	13.07.2017 23:59:59	КПК	2 483,07	2 483,07	2
ЗЧ и РМ	13.07.2017 23:59:59	Розница	636 535,93	570 029,95	22
Компрессорное	13.07.2017 23:59:59	Дилер	61 510,00	61 510,00	2
Компрессорное	13.07.2017 23:59:59	Розница	1 267 249,87	1 266 597,78	7
Насосное	13.07.2017 23:59:59	Дилер	84 934,55	84 748,41	6
Насосное	13.07.2017 23:59:59	Розница	941 279,36	941 173,86	10
Подготовка поверхности	13.07.2017 23:59:59	Дилер	35 974,79	35 974,79	1
Подготовка поверхности	13.07.2017 23:59:59	Розница	1 015 428,40	1 015 428,40	5
Сварочное	13.07.2017 23:59:59	Дилер	159 751,25	159 178,02	3
Сварочное	13.07.2017 23:59:59	Розница	974 147,77	973 658,17	5
Химическое	13.07.2017 23:59:59	Розница	130 149,88	129 682,86	1
Автосервис	14.07.2017 23:59:59	Розница	17 760,00	17 760,00	1
Дуговая сварка.	14.07.2017 23:59:59	Дилер	117 652,76	116 157,90	1
ЗЧ и РМ	14.07.2017 23:59:59	Дилер	142 317,86	123 519,04	7
ЗЧ и РМ	14.07.2017 23:59:59	Розница	639 569,18	630 713,89	20
Компрессорное	14.07.2017 23:59:59	Дилер	137 662,81	135 909,07	2
Компрессорное	14.07.2017 23:59:59	Розница	773 316,98	773 316,98	4
Металлообработка	14.07.2017 23:59:59	Розница	415 545,46	385 061,72	1
Насосное	14.07.2017 23:59:59	Дилер	509 739,61	497 148,30	11
Насосное	14.07.2017 23:59:59	Розница	611 340,13	609 227,65	11
Подготовка поверхности	14.07.2017 23:59:59	Дилер	14 960,00	14 960,00	1
Подготовка поверхности	14.07.2017 23:59:59	Розница	669 641,43	405 141,42	5
Сварочное	14.07.2017 23:59:59	Дилер	235 149,38	234 876,56	4
Сварочное	14.07.2017 23:59:59	Розница	38 211,61	38 211,61	2
Химическое	14.07.2017 23:59:59	Розница	230 032,35	226 258,70	2
Автосервис	17.07.2017 23:59:59	Розница	1 273 500,00	1 273 500,00	2
АТП	17.07.2017 23:59:59	Розница	42 196,08	41 384,96	1
Дуговая сварка.	17.07.2017 23:59:59	Дилер	5 740,00	5 740,00	1
Дуговая сварка.	17.07.2017 23:59:59	Розница	71 984,57	71 984,57	2
ЗЧ и РМ	17.07.2017 23:59:59	Дилер	476 560,91	390 392,60	12
ЗЧ и РМ	17.07.2017 23:59:59	КПК	969 455,99	969 455,99	2
ЗЧ и РМ	17.07.2017 23:59:59	Розница	311 192,68	259 850,79	16
Компрессорное	17.07.2017 23:59:59	Дилер	115 387,93	114 022,47	4
Компрессорное	17.07.2017 23:59:59	Розница	2 897 265,65	5 501,63	5
Металлообработка	17.07.2017 23:59:59	Розница	464,87	430,77	1
Насосное	17.07.2017 23:59:59	Дилер	415 571,95	391 996,71	5
