
Параметры:	Период:  - 31.07.2017
Отбор:	"Заказ.Дата Больше или равно ""01.04.2016 0:00:00"" И
Заказ.Дата Меньше ""27.08.2017 0:00:00"" И
Направление В списке ""Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Комплексные поставки; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности;..."""
	
Направление	Организация	Заказ.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов	Количество заказов с оплатой
Компрессорное	PУТЕКТОР	10.04.2017 23:59:59	Розница	459 668,75	64 379,31	4	2
Насосное	PУТЕКТОР	10.04.2017 23:59:59	Розница	1 407 018,72	858 665,17	23	13
Подготовка поверхности	PУТЕКТОР	10.04.2017 23:59:59	Розница	188 633,00	66 233,00	2	1
Сварочное	PУТЕКТОР	10.04.2017 23:59:59	Розница	829 257,57	25 443,84	5	2
Химическое	PУТЕКТОР	10.04.2017 23:59:59	Розница	253 094,79	253 839,43	1	1
Дуговая сварка.	PУТЕКТОР	11.04.2017 23:59:59	Дилер	7 690,00	7 690,00	1	1
ЗЧ и РМ	PУТЕКТОР	11.04.2017 23:59:59	Дилер	294 365,76	215 455,64	16	10
Компрессорное	PУТЕКТОР	11.04.2017 23:59:59	Дилер	291 345,19	290 866,33	3	3
Насосное	PУТЕКТОР	11.04.2017 23:59:59	Дилер	848 505,40	822 908,76	21	20
Сварочное	PУТЕКТОР	11.04.2017 23:59:59	Дилер	8 601,76	8 602,20	1	1
ЗЧ и РМ	PУТЕКТОР	11.04.2017 23:59:59	КПК	628 010,71		3	
Насосное	PУТЕКТОР	11.04.2017 23:59:59	КПК	18 710,05		1	
Дуговая сварка.	PУТЕКТОР	11.04.2017 23:59:59	Розница	23 058,00	23 058,00	3	3
ЗЧ и РМ	PУТЕКТОР	11.04.2017 23:59:59	Розница	407 664,87	359 177,17	23	19
Компрессорное	PУТЕКТОР	11.04.2017 23:59:59	Розница	39 300,00	39 300,00	1	1
Насосное	PУТЕКТОР	11.04.2017 23:59:59	Розница	488 561,32	396 976,73	6	4
Подготовка поверхности	PУТЕКТОР	11.04.2017 23:59:59	Розница	373 402,68	373 402,68	3	3
Сварочное	PУТЕКТОР	11.04.2017 23:59:59	Розница	479 577,91	127 064,55	3	2
Химическое	PУТЕКТОР	11.04.2017 23:59:59	Розница	238 684,90	40 747,89	2	1
Дуговая сварка.	PУТЕКТОР	12.04.2017 23:59:59	Дилер	6 642,00	6 642,00	1	1
ЗЧ и РМ	PУТЕКТОР	12.04.2017 23:59:59	Дилер	321 251,00	172 063,97	18	12
Компрессорное	PУТЕКТОР	12.04.2017 23:59:59	Дилер	82 296,74	50 312,87	2	1
Насосное	PУТЕКТОР	12.04.2017 23:59:59	Дилер	579 610,88	532 345,46	15	14
Подготовка поверхности	PУТЕКТОР	12.04.2017 23:59:59	Дилер	17 040,00	17 040,00	1	1
Сварочное	PУТЕКТОР	12.04.2017 23:59:59	Дилер	22 099,68	22 099,95	1	1
Химическое	PУТЕКТОР	12.04.2017 23:59:59	Дилер	138 518,75	138 518,75	2	2
ЗЧ и РМ	PУТЕКТОР	12.04.2017 23:59:59	КПК	846 371,94	846 371,94	2	2
Комплексные поставки	PУТЕКТОР	12.04.2017 23:59:59	КПК	38 000,00		1	
АТП	PУТЕКТОР	12.04.2017 23:59:59	Розница	21 543,07	21 548,25	1	1
Дуговая сварка.	PУТЕКТОР	12.04.2017 23:59:59	Розница	346 287,78	346 287,78	2	2
ЗЧ и РМ	PУТЕКТОР	12.04.2017 23:59:59	Розница	653 705,26	268 247,93	26	14
Компрессорное	PУТЕКТОР	12.04.2017 23:59:59	Розница	71 343,11	71 343,11	2	2
Насосное	PУТЕКТОР	12.04.2017 23:59:59	Розница	2 185 928,23	1 653 250,39	11	6
Подготовка поверхности	PУТЕКТОР	12.04.2017 23:59:59	Розница	109 180,00	109 180,00	4	4
Сварочное	PУТЕКТОР	12.04.2017 23:59:59	Розница	978 464,01	760 043,69	6	4
Химическое	PУТЕКТОР	12.04.2017 23:59:59	Розница	25 738,44	25 730,97	1	1
Автосервис	PУТЕКТОР	13.04.2017 23:59:59	Дилер	156 800,00	156 800,00	1	1
ЗЧ и РМ	PУТЕКТОР	13.04.2017 23:59:59	Дилер	198 028,18	78 417,99	16	8
Компрессорное	PУТЕКТОР	13.04.2017 23:59:59	Дилер	320 622,73	309 346,67	7	6
Компрессорное	Рутектор	13.04.2017 23:59:59	Дилер	177 300,00		1	
Насосное	PУТЕКТОР	13.04.2017 23:59:59	Дилер	614 094,16	616 965,02	13	13
Подготовка поверхности	PУТЕКТОР	13.04.2017 23:59:59	Дилер	246 989,95	246 989,95	5	5
Сварочное	PУТЕКТОР	13.04.2017 23:59:59	Дилер	292 372,46	292 041,09	6	6
ЗЧ и РМ	PУТЕКТОР	13.04.2017 23:59:59	КПК	65 800,07	66 782,05	1	1
АТП	PУТЕКТОР	13.04.2017 23:59:59	Розница	20 338,80		1	
Дуговая сварка.	PУТЕКТОР	13.04.2017 23:59:59	Розница	30 055,60	30 055,60	2	2
ЗЧ и РМ	PУТЕКТОР	13.04.2017 23:59:59	Розница	832 621,90	133 991,04	26	14
Компрессорное	PУТЕКТОР	13.04.2017 23:59:59	Розница	461 769,00	54 399,93	4	1
Насосное	PУТЕКТОР	13.04.2017 23:59:59	Розница	3 811 022,26	367 324,68	8	3
Подготовка поверхности	PУТЕКТОР	13.04.2017 23:59:59	Розница	219 212,00	219 212,00	3	3
Сварочное	PУТЕКТОР	13.04.2017 23:59:59	Розница	1 717 968,69	879 535,04	11	8
Химическое	PУТЕКТОР	13.04.2017 23:59:59	Розница	955 918,53	710 755,79	3	3
ЗЧ и РМ	PУТЕКТОР	14.04.2017 23:59:59	Дилер	301 340,19	227 667,74	14	9
Компрессорное	PУТЕКТОР	14.04.2017 23:59:59	Дилер	100 760,00	85 800,00	3	2
Насосное	PУТЕКТОР	14.04.2017 23:59:59	Дилер	2 356 710,04	2 248 531,50	13	13
Подготовка поверхности	PУТЕКТОР	14.04.2017 23:59:59	Дилер	132 000,00	132 000,00	1	1
Сварочное	PУТЕКТОР	14.04.2017 23:59:59	Дилер	1 059 836,57	1 104 474,62	3	3
ЗЧ и РМ	PУТЕКТОР	14.04.2017 23:59:59	КПК	45 559,24		1	
Автосервис	PУТЕКТОР	14.04.2017 23:59:59	Розница	24 420,00	2 800,00	2	1
ЗЧ и РМ	PУТЕКТОР	14.04.2017 23:59:59	Розница	502 214,99	453 104,96	29	19
Компрессорное	PУТЕКТОР	14.04.2017 23:59:59	Розница	1 274 152,17	1 204 121,48	7	6
Насосное	PУТЕКТОР	14.04.2017 23:59:59	Розница	2 548 500,50	61 759,08	4	1
Подготовка поверхности	PУТЕКТОР	14.04.2017 23:59:59	Розница	43 786,40	43 786,40	2	2
Сварочное	PУТЕКТОР	14.04.2017 23:59:59	Розница	197 478,92	185 958,25	4	2
Химическое	PУТЕКТОР	14.04.2017 23:59:59	Розница	9 810,45	9 810,45	2	2
Дуговая сварка.	PУТЕКТОР	17.04.2017 23:59:59	Дилер	361 480,93	361 460,24	2	2
ЗЧ и РМ	PУТЕКТОР	17.04.2017 23:59:59	Дилер	277 311,78	118 038,93	17	7
Компрессорное	PУТЕКТОР	17.04.2017 23:59:59	Дилер	48 670,00	48 669,98	2	2
Насосное	PУТЕКТОР	17.04.2017 23:59:59	Дилер	1 169 213,96	1 185 894,27	16	16
Подготовка поверхности	PУТЕКТОР	17.04.2017 23:59:59	Дилер	14 960,00	14 960,00	1	1
Сварочное	PУТЕКТОР	17.04.2017 23:59:59	Дилер	961 048,27	993 151,42	2	2
Подготовка поверхности	PУТЕКТОР	17.04.2017 23:59:59	КПК	173 359,39	188 015,27	1	1
Автосервис	PУТЕКТОР	17.04.2017 23:59:59	Розница	18 800,00	18 800,00	1	1
Дуговая сварка.	PУТЕКТОР	17.04.2017 23:59:59	Розница	328 680,56	329 718,14	4	4
ЗЧ и РМ	PУТЕКТОР	17.04.2017 23:59:59	Розница	723 625,96	513 056,21	34	26
Компрессорное	PУТЕКТОР	17.04.2017 23:59:59	Розница	265 922,24	254 542,24	6	5
Насосное	PУТЕКТОР	17.04.2017 23:59:59	Розница	584 765,87	446 544,48	13	11
Подготовка поверхности	PУТЕКТОР	17.04.2017 23:59:59	Розница	47 450,00	47 450,00	4	4
Сварочное	PУТЕКТОР	17.04.2017 23:59:59	Розница	4 646 093,20	3 180 593,20	8	7
ЗЧ и РМ	PУТЕКТОР	18.04.2017 23:59:59	Дилер	285 756,85	179 954,85	17	11
Компрессорное	PУТЕКТОР	18.04.2017 23:59:59	Дилер	345 643,60	345 586,56	3	3
Насосное	PУТЕКТОР	18.04.2017 23:59:59	Дилер	2 620 227,29	2 619 663,06	13	13
Подготовка поверхности	PУТЕКТОР	18.04.2017 23:59:59	Дилер	17 480,00	17 480,00	2	2
Сварочное	PУТЕКТОР	18.04.2017 23:59:59	Дилер	6 438,71	6 484,74	2	2
Химическое	PУТЕКТОР	18.04.2017 23:59:59	Дилер	92 451,72	92 266,80	2	2
Сварочное	PУТЕКТОР	18.04.2017 23:59:59	КПК	547 290,24		1	
Автосервис	PУТЕКТОР	18.04.2017 23:59:59	Розница	119 516,00	27 326,00	3	1
АТП	PУТЕКТОР	18.04.2017 23:59:59	Розница	72 208,85	8 999,99	2	1
ЗЧ и РМ	PУТЕКТОР	18.04.2017 23:59:59	Розница	808 085,17	428 321,85	39	29
Компрессорное	PУТЕКТОР	18.04.2017 23:59:59	Розница	479 386,59	272 830,46	7	5
Насосное	PУТЕКТОР	18.04.2017 23:59:59	Розница	322 091,88	290 697,31	13	11
Подготовка поверхности	PУТЕКТОР	18.04.2017 23:59:59	Розница	4 000,00	4 000,00	1	1
Сварочное	PУТЕКТОР	18.04.2017 23:59:59	Розница	388 432,82	63 901,48	6	5
Химическое	PУТЕКТОР	18.04.2017 23:59:59	Розница	230 028,85	233 899,10	1	1
ЗЧ и РМ	PУТЕКТОР	19.04.2017 23:59:59	Дилер	95 526,26	53 315,15	10	6
Компрессорное	PУТЕКТОР	19.04.2017 23:59:59	Дилер	365 565,91	371 596,00	5	5
Насосное	PУТЕКТОР	19.04.2017 23:59:59	Дилер	629 649,68	564 866,15	17	15
Подготовка поверхности	PУТЕКТОР	19.04.2017 23:59:59	Дилер	2 380,00	2 380,00	1	1
Сварочное	PУТЕКТОР	19.04.2017 23:59:59	Дилер	299 087,79	315 657,90	3	3
Химическое	PУТЕКТОР	19.04.2017 23:59:59	Дилер	126 557,13	126 557,13	1	1
Дуговая сварка.	PУТЕКТОР	19.04.2017 23:59:59	КПК	1 196 910,40		1	
Компрессорное	PУТЕКТОР	19.04.2017 23:59:59	КПК	324 839,92		2	
НГО	PУТЕКТОР	19.04.2017 23:59:59	КПК	2 091 821,05		1	
НГО	Рутектор	19.04.2017 23:59:59	КПК	809 460,68		1	
Подготовка поверхности	PУТЕКТОР	19.04.2017 23:59:59	КПК	744 782,10	744 782,10	2	2
АТП	PУТЕКТОР	19.04.2017 23:59:59	Розница	11 326,36	11 460,55	1	1
Дуговая сварка.	PУТЕКТОР	19.04.2017 23:59:59	Розница	291 853,80	291 853,80	1	1
ЗЧ и РМ	PУТЕКТОР	19.04.2017 23:59:59	Розница	554 360,37	414 809,52	25	17
Компрессорное	PУТЕКТОР	19.04.2017 23:59:59	Розница	1 358 506,96	865 506,96	9	7
Насосное	PУТЕКТОР	19.04.2017 23:59:59	Розница	1 680 830,53	1 636 681,36	16	14
Подготовка поверхности	PУТЕКТОР	19.04.2017 23:59:59	Розница	145 510,00	145 510,00	1	1
Сварочное	PУТЕКТОР	19.04.2017 23:59:59	Розница	552 921,13	543 917,67	7	5
ЗЧ и РМ	PУТЕКТОР	20.04.2017 23:59:59	Дилер	284 319,54	137 719,04	17	7
Компрессорное	PУТЕКТОР	20.04.2017 23:59:59	Дилер	464 800,00	464 800,00	2	2
Насосное	PУТЕКТОР	20.04.2017 23:59:59	Дилер	3 805 970,85	3 745 273,73	13	13
Подготовка поверхности	PУТЕКТОР	20.04.2017 23:59:59	Дилер	2 597 918,87	2 093 185,25	2	2
Сварочное	PУТЕКТОР	20.04.2017 23:59:59	Дилер	63 645,76	63 687,54	4	4
Химическое	PУТЕКТОР	20.04.2017 23:59:59	Дилер	422 167,68	241 586,95	3	2
ЗЧ и РМ	PУТЕКТОР	20.04.2017 23:59:59	КПК	7 579 216,43	1 949 455,20	4	2
Металлообработка	PУТЕКТОР	20.04.2017 23:59:59	КПК	299 000,00		1	
Насосное	PУТЕКТОР	20.04.2017 23:59:59	КПК	136 487,95		1	
НГО	PУТЕКТОР	20.04.2017 23:59:59	КПК	4 590 250,56	4 590 250,56	1	1
Автосервис	PУТЕКТОР	20.04.2017 23:59:59	Розница	226 700,00	226 700,00	1	1
Дуговая сварка.	PУТЕКТОР	20.04.2017 23:59:59	Розница	117 381,69	117 381,69	2	2
ЗЧ и РМ	PУТЕКТОР	20.04.2017 23:59:59	Розница	851 038,89	428 381,19	37	29
ЗЧ и РМ	Рутектор	20.04.2017 23:59:59	Розница	578 829,00	578 829,00	1	1
Компрессорное	PУТЕКТОР	20.04.2017 23:59:59	Розница	1 878 773,64	1 297 417,64	10	6
Металлообработка	PУТЕКТОР	20.04.2017 23:59:59	Розница	7 979 072,76	8 717 925,67	1	1
Насосное	PУТЕКТОР	20.04.2017 23:59:59	Розница	605 103,22	419 584,95	9	6
Подготовка поверхности	PУТЕКТОР	20.04.2017 23:59:59	Розница	552 980,73	528 580,73	4	3
Сварочное	PУТЕКТОР	20.04.2017 23:59:59	Розница	2 333 570,49	1 712 371,66	8	5
Химическое	PУТЕКТОР	20.04.2017 23:59:59	Розница	22 941,04	23 072,41	1	1
ЗЧ и РМ	PУТЕКТОР	21.04.2017 23:59:59	Дилер	175 121,15	144 152,21	14	10
Компрессорное	PУТЕКТОР	21.04.2017 23:59:59	Дилер	165 604,41	166 037,96	2	2
Насосное	PУТЕКТОР	21.04.2017 23:59:59	Дилер	1 046 001,04	904 209,35	15	14
Подготовка поверхности	PУТЕКТОР	21.04.2017 23:59:59	Дилер	14 971,63	15 738,30	1	1
Сварочное	PУТЕКТОР	21.04.2017 23:59:59	Дилер	166 940,10	166 964,85	2	2
Дуговая сварка.	PУТЕКТОР	21.04.2017 23:59:59	КПК	240 750,00		1	
ЗЧ и РМ	PУТЕКТОР	21.04.2017 23:59:59	КПК	515 771,05	83 750,28	2	1
Комплексные поставки	PУТЕКТОР	21.04.2017 23:59:59	КПК	4 612 628,80	4 612 628,80	1	1
Подготовка поверхности	PУТЕКТОР	21.04.2017 23:59:59	КПК	1 656 369,26	1 464 999,48	2	1
Автосервис	PУТЕКТОР	21.04.2017 23:59:59	Розница	300 700,00	300 700,00	1	1
Дуговая сварка.	PУТЕКТОР	21.04.2017 23:59:59	Розница	60 472,51	60 472,51	3	3
ЗЧ и РМ	PУТЕКТОР	21.04.2017 23:59:59	Розница	564 240,51	78 404,27	20	9
Компрессорное	PУТЕКТОР	21.04.2017 23:59:59	Розница	992 900,85	705 125,85	7	6
Насосное	PУТЕКТОР	21.04.2017 23:59:59	Розница	3 262 328,31	2 320 829,38	11	8
Подготовка поверхности	PУТЕКТОР	21.04.2017 23:59:59	Розница	133 177,41	133 177,41	6	6
Сварочное	PУТЕКТОР	21.04.2017 23:59:59	Розница	1 267 259,67	907 691,18	10	5
Химическое	PУТЕКТОР	21.04.2017 23:59:59	Розница	130 930,87	130 293,22	1	1
Дуговая сварка.	PУТЕКТОР	24.04.2017 23:59:59	Дилер	176 733,79		1	
ЗЧ и РМ	PУТЕКТОР	24.04.2017 23:59:59	Дилер	247 666,28	146 406,49	17	11
Компрессорное	PУТЕКТОР	24.04.2017 23:59:59	Дилер	54 500,00	54 500,00	1	1
Насосное	PУТЕКТОР	24.04.2017 23:59:59	Дилер	3 505 496,21	3 440 621,34	25	24
Подготовка поверхности	PУТЕКТОР	24.04.2017 23:59:59	Дилер	14 960,00	14 960,00	1	1
Сварочное	PУТЕКТОР	24.04.2017 23:59:59	Дилер	3 709,60	3 709,60	1	1
Химическое	PУТЕКТОР	24.04.2017 23:59:59	Дилер	36 734,09	37 850,27	1	1
Дуговая сварка.	PУТЕКТОР	24.04.2017 23:59:59	КПК	144 372,30		2	
ЗЧ и РМ	PУТЕКТОР	24.04.2017 23:59:59	КПК	5 443 141,46	2 112 246,66	6	2
Комплексные поставки	PУТЕКТОР	24.04.2017 23:59:59	КПК	19 376,14		1	
Насосное	PУТЕКТОР	24.04.2017 23:59:59	КПК	120 663,32		1	
НГО	PУТЕКТОР	24.04.2017 23:59:59	КПК	2 744 563,11		1	
Подготовка поверхности	PУТЕКТОР	24.04.2017 23:59:59	КПК	40 000,00	40 000,00	1	1
Дуговая сварка.	PУТЕКТОР	24.04.2017 23:59:59	Розница	25 730,00	25 730,00	2	2
ЗЧ и РМ	PУТЕКТОР	24.04.2017 23:59:59	Розница	726 499,99	252 324,65	30	25
Компрессорное	PУТЕКТОР	24.04.2017 23:59:59	Розница	466 508,98	37 000,66	6	2
Насосное	PУТЕКТОР	24.04.2017 23:59:59	Розница	400 760,00	208 669,07	10	6
Подготовка поверхности	PУТЕКТОР	24.04.2017 23:59:59	Розница	19 713,36	19 713,36	2	2
Сварочное	PУТЕКТОР	24.04.2017 23:59:59	Розница	1 454 580,84		3	
Химическое	PУТЕКТОР	24.04.2017 23:59:59	Розница	1 387 745,28	133 300,61	6	2
Дуговая сварка.	PУТЕКТОР	25.04.2017 23:59:59	Дилер	142 297,76	142 298,00	4	4
ЗЧ и РМ	PУТЕКТОР	25.04.2017 23:59:59	Дилер	85 969,77	43 103,62	8	5
Компрессорное	PУТЕКТОР	25.04.2017 23:59:59	Дилер	153 877,05	83 854,73	4	3
Насосное	PУТЕКТОР	25.04.2017 23:59:59	Дилер	283 029,14	253 984,21	7	5
Подготовка поверхности	PУТЕКТОР	25.04.2017 23:59:59	Дилер	33 260,00	33 260,00	2	2
Сварочное	PУТЕКТОР	25.04.2017 23:59:59	Дилер	409 485,13	414 541,96	2	2
Химическое	PУТЕКТОР	25.04.2017 23:59:59	Дилер	46 425,57	46 425,57	1	1
Дуговая сварка.	PУТЕКТОР	25.04.2017 23:59:59	Розница	3 590,00	3 590,00	1	1
ЗЧ и РМ	PУТЕКТОР	25.04.2017 23:59:59	Розница	729 606,73	325 241,61	25	15
Компрессорное	PУТЕКТОР	25.04.2017 23:59:59	Розница	1 730 857,73	880 003,76	12	4
Насосное	PУТЕКТОР	25.04.2017 23:59:59	Розница	373 628,04	317 083,37	8	6
Подготовка поверхности	PУТЕКТОР	25.04.2017 23:59:59	Розница	186 152,38	186 152,38	5	5
Сварочное	PУТЕКТОР	25.04.2017 23:59:59	Розница	731 011,29	156 044,66	8	3
Химическое	PУТЕКТОР	25.04.2017 23:59:59	Розница	766 089,52	10 396,84	3	1
Дуговая сварка.	PУТЕКТОР	26.04.2017 23:59:59	Дилер	12 401,81	12 680,54	1	1
ЗЧ и РМ	PУТЕКТОР	26.04.2017 23:59:59	Дилер	177 569,11	127 316,54	12	6
Компрессорное	PУТЕКТОР	26.04.2017 23:59:59	Дилер	77 072,76	77 953,53	2	2
Насосное	PУТЕКТОР	26.04.2017 23:59:59	Дилер	815 741,40	792 458,95	19	18
Подготовка поверхности	PУТЕКТОР	26.04.2017 23:59:59	Дилер	149 546,41	153 012,00	1	1
Сварочное	PУТЕКТОР	26.04.2017 23:59:59	Дилер	1 098 812,77	56 017,32	4	2
Комплексные поставки	PУТЕКТОР	26.04.2017 23:59:59	КПК	19 116,66		1	
Насосное	PУТЕКТОР	26.04.2017 23:59:59	КПК	30 173,49	31 399,52	1	1
Дуговая сварка.	PУТЕКТОР	26.04.2017 23:59:59	Розница	245 611,55	249 976,18	2	2
ЗЧ и РМ	PУТЕКТОР	26.04.2017 23:59:59	Розница	1 461 881,81	574 742,05	28	22
Компрессорное	PУТЕКТОР	26.04.2017 23:59:59	Розница	975 921,50	208 821,50	7	5
Насосное	PУТЕКТОР	26.04.2017 23:59:59	Розница	1 088 457,32	878 166,62	20	12
Подготовка поверхности	PУТЕКТОР	26.04.2017 23:59:59	Розница	407 308,73	39 889,62	5	3
Сварочное	PУТЕКТОР	26.04.2017 23:59:59	Розница	223 951,34	67 259,14	5	2
ЗЧ и РМ	PУТЕКТОР	27.04.2017 23:59:59	Дилер	77 231,38	61 063,47	9	6
Компрессорное	PУТЕКТОР	27.04.2017 23:59:59	Дилер	187 752,42	188 796,17	3	3
Насосное	PУТЕКТОР	27.04.2017 23:59:59	Дилер	841 105,33	742 745,94	13	11
Сварочное	PУТЕКТОР	27.04.2017 23:59:59	Дилер	128 964,10	130 160,59	3	3
Химическое	PУТЕКТОР	27.04.2017 23:59:59	Дилер	21 834,35	22 069,07	1	1
Дуговая сварка.	PУТЕКТОР	27.04.2017 23:59:59	КПК	284 311,72		1	
ЗЧ и РМ	PУТЕКТОР	27.04.2017 23:59:59	КПК	12 438 093,33	121 248,00	4	1
Дуговая сварка.	PУТЕКТОР	27.04.2017 23:59:59	Розница	409 005,39	409 866,63	4	4
ЗЧ и РМ	PУТЕКТОР	27.04.2017 23:59:59	Розница	652 727,33	641 271,03	33	25
Компрессорное	PУТЕКТОР	27.04.2017 23:59:59	Розница	486 957,64	488 528,15	4	4
Насосное	PУТЕКТОР	27.04.2017 23:59:59	Розница	1 698 994,51	751 907,06	17	9
Подготовка поверхности	PУТЕКТОР	27.04.2017 23:59:59	Розница	254 282,23	254 282,23	5	5
Сварочное	PУТЕКТОР	27.04.2017 23:59:59	Розница	2 094 811,18	73 233,44	3	2
ЗЧ и РМ	PУТЕКТОР	28.04.2017 23:59:59	Дилер	97 939,20	94 395,38	4	3
Насосное	PУТЕКТОР	28.04.2017 23:59:59	Дилер	110 207,66	111 413,86	5	5
Подготовка поверхности	PУТЕКТОР	28.04.2017 23:59:59	Дилер	17 040,00	17 040,00	1	1
Сварочное	PУТЕКТОР	28.04.2017 23:59:59	Дилер	180 736,37	180 693,90	2	2
Дуговая сварка.	PУТЕКТОР	28.04.2017 23:59:59	Розница	261 919,81	261 919,81	4	4
ЗЧ и РМ	PУТЕКТОР	28.04.2017 23:59:59	Розница	573 227,73	243 907,24	22	16
Компрессорное	PУТЕКТОР	28.04.2017 23:59:59	Розница	1 273 209,15	964 988,50	10	7
Насосное	PУТЕКТОР	28.04.2017 23:59:59	Розница	1 009 351,14	978 795,11	7	6
Подготовка поверхности	PУТЕКТОР	28.04.2017 23:59:59	Розница	70 039,08	70 039,08	1	1
Сварочное	PУТЕКТОР	28.04.2017 23:59:59	Розница	424 241,11	339 607,78	10	6
Химическое	PУТЕКТОР	28.04.2017 23:59:59	Розница	631 087,18	279 381,75	2	1
Дуговая сварка.	PУТЕКТОР	02.05.2017 23:59:59	Дилер	265 051,97	265 511,21	1	1
ЗЧ и РМ	PУТЕКТОР	02.05.2017 23:59:59	Дилер	615 912,49	379 907,86	13	9
Компрессорное	PУТЕКТОР	02.05.2017 23:59:59	Дилер	248 800,00	113 600,00	4	3
Насосное	PУТЕКТОР	02.05.2017 23:59:59	Дилер	1 010 303,79	930 572,37	17	15
Сварочное	PУТЕКТОР	02.05.2017 23:59:59	Дилер	2 028 918,02	2 028 917,63	2	2
Дуговая сварка.	PУТЕКТОР	02.05.2017 23:59:59	КПК	967 081,80		1	
ЗЧ и РМ	PУТЕКТОР	02.05.2017 23:59:59	КПК	64 882,76	64 882,76	1	1
Насосное	PУТЕКТОР	02.05.2017 23:59:59	КПК	177 501,62	117 501,62	1	1
Автосервис	PУТЕКТОР	02.05.2017 23:59:59	Розница	2 992 500,00	2 977 000,00	2	1
Дуговая сварка.	PУТЕКТОР	02.05.2017 23:59:59	Розница	26 120,52	26 237,73	1	1
ЗЧ и РМ	PУТЕКТОР	02.05.2017 23:59:59	Розница	1 048 505,32	594 384,11	31	20
ЗЧ и РМ	Рутектор	02.05.2017 23:59:59	Розница	5 076 482,00		1	
Компрессорное	PУТЕКТОР	02.05.2017 23:59:59	Розница	518 465,32	472 800,88	6	5
Насосное	PУТЕКТОР	02.05.2017 23:59:59	Розница	972 723,13	309 408,97	8	4
Подготовка поверхности	PУТЕКТОР	02.05.2017 23:59:59	Розница	216 783,02	216 783,02	4	4
Сварочное	PУТЕКТОР	02.05.2017 23:59:59	Розница	304 128,24	122 010,74	3	2
Химическое	PУТЕКТОР	02.05.2017 23:59:59	Розница	29 753,82	29 753,82	1	1
Дуговая сварка.	PУТЕКТОР	03.05.2017 23:59:59	Дилер	1 740,24	1 740,24	1	1
ЗЧ и РМ	PУТЕКТОР	03.05.2017 23:59:59	Дилер	175 836,61	90 255,66	10	6
Компрессорное	PУТЕКТОР	03.05.2017 23:59:59	Дилер	118 349,25	118 404,42	3	3
Насосное	PУТЕКТОР	03.05.2017 23:59:59	Дилер	1 593 579,06	1 575 824,37	18	16
Подготовка поверхности	PУТЕКТОР	03.05.2017 23:59:59	Дилер	4 700,00	4 700,00	1	1
Сварочное	PУТЕКТОР	03.05.2017 23:59:59	Дилер	61 542,42	61 680,90	5	5
Химическое	PУТЕКТОР	03.05.2017 23:59:59	Дилер	145 438,60	149 111,45	2	2
ЗЧ и РМ	PУТЕКТОР	03.05.2017 23:59:59	КПК	261 546,37	143 694,55	4	3
Комплексные поставки	PУТЕКТОР	03.05.2017 23:59:59	КПК	132 165,81		2	
Насосное	PУТЕКТОР	03.05.2017 23:59:59	КПК	12 006,43		1	
Сварочное	PУТЕКТОР	03.05.2017 23:59:59	КПК	1 392 764,22	1 392 763,68	1	1
Химическое	PУТЕКТОР	03.05.2017 23:59:59	КПК	314,49	317,39	1	1
Автосервис	PУТЕКТОР	03.05.2017 23:59:59	Розница	28 056,00	28 056,00	2	2
ЗЧ и РМ	PУТЕКТОР	03.05.2017 23:59:59	Розница	3 201 302,34	408 599,95	63	27
Компрессорное	PУТЕКТОР	03.05.2017 23:59:59	Розница	101 253,60	43 633,58	5	2
Насосное	PУТЕКТОР	03.05.2017 23:59:59	Розница	1 722 198,32	1 324 656,73	8	4
Сварочное	PУТЕКТОР	03.05.2017 23:59:59	Розница	4 278 171,06	2 951 985,74	5	4
ЗЧ и РМ	PУТЕКТОР	04.05.2017 23:59:59	Дилер	8 716 339,44	178 044,38	7	5
Компрессорное	PУТЕКТОР	04.05.2017 23:59:59	Дилер	291 384,29	50 100,00	2	1
Насосное	PУТЕКТОР	04.05.2017 23:59:59	Дилер	1 020 993,66	493 314,04	11	6
Подготовка поверхности	PУТЕКТОР	04.05.2017 23:59:59	Дилер	49 223,48	49 713,45	3	3
Сварочное	PУТЕКТОР	04.05.2017 23:59:59	Дилер	160 791,79	161 842,88	1	1
Подготовка поверхности	PУТЕКТОР	04.05.2017 23:59:59	КПК	35 275,74		1	
Автосервис	PУТЕКТОР	04.05.2017 23:59:59	Розница	7 000,00	7 000,00	1	1
Дуговая сварка.	PУТЕКТОР	04.05.2017 23:59:59	Розница	283 340,30	286 187,97	2	2
ЗЧ и РМ	PУТЕКТОР	04.05.2017 23:59:59	Розница	371 017,85	277 461,25	28	25
Компрессорное	PУТЕКТОР	04.05.2017 23:59:59	Розница	901 286,25	901 286,25	7	7
Насосное	PУТЕКТОР	04.05.2017 23:59:59	Розница	2 281 308,37	408 519,60	15	8
Подготовка поверхности	PУТЕКТОР	04.05.2017 23:59:59	Розница	163 570,75	163 170,03	2	2
Сварочное	PУТЕКТОР	04.05.2017 23:59:59	Розница	662 048,96	36 523,45	5	2
Химическое	PУТЕКТОР	04.05.2017 23:59:59	Розница	82 660,86	28 884,57	2	1
ЗЧ и РМ	PУТЕКТОР	05.05.2017 23:59:59	Дилер	594 144,41	142 599,06	20	12
